"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_i"
1,36.2,36.2,63.8,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Nel comune di Aeugst am Albis l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 63,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 68 percento dei voti. A Aeugst am Albis come nel 2017 gli elettroi hanno detto no - con il 53,2 percento dei voti – alla riforma dell'AVS."
2,62.5,62.5,37.5,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Con il 62,5 percento di ""sì"", i cittadini del comune di Affoltern am Albis hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece respinta con il 31,4 percento dei voti. A Affoltern am Albis come nel 2017 gli elettroi hanno detto no - con il 50,2 percento dei voti – alla riforma dell'AVS."
3,83.4,83.4,16.6,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Con il 83,4 percento di ""sì"", i cittadini del comune di Bonstetten hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece respinta con il 36,1 percento dei voti. Bonstetten ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
4,58,58,42,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Nel comune di Hausen am Albis l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 58 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 67,5 percento dei voti. Hausen am Albis ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
5,61.3,61.3,38.7,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Hedingen: i cittadini hanno approvato il testo con il 61,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 46,8 percento dei voti. Hedingen ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
6,60.7,60.7,39.3,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Con il 60,7 percento di ""sì"", i cittadini del comune di Kappel am Albis hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece respinta con il 46 percento dei voti. A Kappel am Albis come nel 2017 gli elettroi hanno detto no - con il 56,9 percento dei voti – alla riforma dell'AVS."
7,58.2,58.2,41.8,"Knonau ZH","Knonau (ZH)","Knonau ZH","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Knonau: i cittadini hanno approvato il testo con il 58,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 27,7 percento dei voti. Knonau ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
8,92.7,92.7,7.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","I cittadini di Maschwanden si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 92,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 12,2 percento dei voti. A Maschwanden come nel 2017 gli elettroi hanno detto no - con il 52 percento dei voti – alla riforma dell'AVS."
9,33.6,33.6,66.4,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Nel comune di Mettmenstetten l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato respinto con il 66,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 40,4 percento dei voti. Mettmenstetten ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
10,10.1,10.1,89.9,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Nel comune di Obfelden l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato respinto con il 89,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 49,5 percento dei voti. Obfelden ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
11,73,73,27,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Ottenbach: i cittadini hanno approvato il testo con il 73 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 41,4 percento dei voti. A Ottenbach come nel 2017 gli elettroi hanno detto no - con il 51,3 percento dei voti – alla riforma dell'AVS."
