"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
1,29.9,29.9,70.1,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","In Aeugst am Albis hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 70,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 74,3 Prozent angenommen hat, ist die AHV-Reform in Aeugst am Albis damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Aeugst am Albis eine Rentenreform mit 53,2 Prozent Nein-Stimmen abgelehnt."
2,43.2,43.2,56.8,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Affoltern am Albis: Mit 56,8 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 97,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Affoltern am Albis damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Affoltern am Albis eine Rentenreform mit 50,2 Prozent Nein-Stimmen abgelehnt."
3,45.6,45.6,54.4,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Bonstetten: Mit 54,4 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 73,7 Prozent angenommen hat, ist die AHV-Reform in Bonstetten damit gescheitert. Damit hat in Bonstetten im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 51,8 Prozent ein Ja in die Urne gelegt."
4,36.5,36.5,63.5,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Nein zur Erhöhung des Frauenrentenalters auf 65 in Hausen am Albis. Die Gemeinde hat das Volksbegehren mit 63,5 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 63,7 Prozent angenommen hat, ist die AHV-Reform in Hausen am Albis damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hausen am Albis eine Rentenreform mit 51,4 Prozent Nein-Stimmen abgelehnt."
5,91.6,91.6,8.4,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Ja zur Erhöhung des Frauenrentenalters auf 65 in Hedingen mit 91,6 Prozent. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 62,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Hedingen damit trotzdem gescheitert. Damit hat in Hedingen im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 51,8 Prozent ein Ja in die Urne gelegt."
6,12.9,12.9,87.1,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Kappel am Albis: Mit 87,1 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 50,5 Prozent angenommen hat, ist die AHV-Reform in Kappel am Albis damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kappel am Albis eine Rentenreform mit 56,9 Prozent Nein-Stimmen abgelehnt."
7,32.7,32.7,67.3,"Knonau ZH","Knonau (ZH)","Knonau ZH","67,3 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 79,6 Prozent angenommen hat, ist die AHV-Reform in Knonau damit gescheitert. Damit hat in Knonau im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,6 Prozent ein Ja in die Urne gelegt."
8,41.7,41.7,58.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 58,3 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 55 Prozent angenommen hat, ist die AHV-Reform in Maschwanden damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Maschwanden eine Rentenreform mit 52 Prozent Nein-Stimmen abgelehnt."
9,83.2,83.2,16.8,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Die Gemeinde Mettmenstetten hat die Erhöhung des Frauenrentenalters auf 65 mit 83,2 Prozent angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 79,3 Prozent zugestimmt hat, ist die AHV-Reform in Mettmenstetten damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Mettmenstetten der Rentenreform mit 52,3 Prozent zugestimmt."
10,10.6,10.6,89.4,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Nein zur Erhöhung des Frauenrentenalters auf 65 in Obfelden. Die Gemeinde hat das Volksbegehren mit 89,4 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 61,5 Prozent angenommen hat, ist die AHV-Reform in Obfelden damit gescheitert. Damit hat in Obfelden im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,2 Prozent ein Ja in die Urne gelegt."
