"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
2701,94.3,94.3,5.7,"Basel BS","Bâle (BS)","Basilea BS","Die Gemeinde Basel hat die Erhöhung des Frauenrentenalters auf 65 mit 94,3 Prozent angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 57,1 zugestimmt hat, ist die AHV-Reform in Basel damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Basel der Rentenreform mit 94,3 zugestimmt.","A Bâle, les habitants disent oui à 94,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 57,1 pour cent des voix. Les électeurs de Bâle avaient déjà voté oui à la précédente réforme de l'AVS en 2017.","Nel comune di Basilea l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 94,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 57,1 percento dei voti. A Basilea come nel 2017 gli elettori hanno detto sì - con il 55 percento dei voti – alla riforma dell'AVS."
2702,77.2,77.2,22.8,"Bettingen BS","Bettingen (BS)","Bettingen BS","In Bettingen hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 77,2 Prozent zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 57 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Bettingen damit trotzdem gescheitert. Damit hat in Bettingen im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,4 Prozent ein Ja in die Urne gelegt.","A Bettingen, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 77,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 57 pour cent de non. Bettingen avait accepté la précédente révision en 2017. Elle dit non cette fois-ci.","I cittadini di Bettingen si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 77,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 43 percento dei voti. Bettingen ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2703,54.8,54.8,45.2,"Riehen BS","Riehen (BS)","Riehen BS","Die Gemeinde Riehen hat die Erhöhung des Frauenrentenalters auf 65 mit 54,8 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 64,9 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Riehen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Riehen eine Rentenreform mit 45,2 Nein-Stimmen abgelehnt.","A Riehen, les habitants disent oui à 54,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 64,9 pour cent de non. Les citoyens de Riehen avaient déjà refusé la précédente révision de l'AVS en 2017.","Nel comune di Riehen l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 54,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 35,1 percento dei voti. A Riehen come nel 2017 gli elettroi hanno detto no - con il 50,8 percento dei voti – alla riforma dell'AVS."
2761,46.5,46.5,53.5,"Aesch BL","Aesch (BL)","Aesch BL","Aesch BL hat die Erhöhung des Frauenrentenalters auf 65 mit 53,5 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 82,6 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Aesch BL damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Aesch BL eine Rentenreform mit 53,5 Nein-Stimmen abgelehnt.","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Aesch (BL) avec 53,5 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 82,6 pour cent de non. Les citoyens d'Aesch (BL) avaient déjà refusé la précédente révision de l'AVS en 2017.","Da Aesch BL è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 53,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 17,4 percento dei voti. A Aesch BL come nel 2017 gli elettroi hanno detto no - con il 56,6 percento dei voti – alla riforma dell'AVS."
2762,96.5,96.5,3.5,"Allschwil BL","Allschwil (BL)","Allschwil BL","Ja zur Erhöhung des Frauenrentenalters auf 65 in Allschwil mit 96,5 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 84 zugestimmt hat, ist die AHV-Reform in Allschwil damit angenommen worden. Damit hat in Allschwil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53,8 Prozent ein Nein in die Urne gelegt.","Les habitants d'Allschwil approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 96,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 84 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Allschwil passe cette fois-ci du côté du oui.","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Allschwil: i cittadini hanno approvato il testo con il 96,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 84 percento dei voti. Allschwil ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2763,31.9,31.9,68.1,"Arlesheim BL","Arlesheim (BL)","Arlesheim BL","Nein zur Erhöhung des Frauenrentenalters auf 65 in Arlesheim. Die Gemeinde hat das Volksbegehren mit 68,1 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 60,5 angenommen hat, ist die AHV-Reform in Arlesheim damit gescheitert. Damit hat in Arlesheim im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 51,6 Prozent ein Ja in die Urne gelegt.","A Arlesheim, les habitants disent non à 68,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 60,5 pour cent des suffrages. Arlesheim avait accepté la précédente révision en 2017. Elle dit non cette fois-ci.","Nel comune di Arlesheim l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 68,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 60,5 percento dei voti. Arlesheim ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
2764,92.6,92.6,7.4,"Biel-Benken BL","Biel-Benken (BL)","Biel-Benken BL","92,6 Prozent der Stimmbürgerinnen und Stimmbürger von Biel-Benken haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 67,5 zugestimmt hat, ist die AHV-Reform in Biel-Benken damit angenommen worden. Damit hat in Biel-Benken im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,7 Prozent ein Nein in die Urne gelegt.","Les électeurs de Biel-Benken valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 92,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 67,5 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Biel-Benken passe cette fois-ci du côté du oui.","A Biel-Benken i cittadini hanno accolto, con il 92,6 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 67,5 percento dei voti. Biel-Benken ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
2765,12.1,12.1,87.9,"Binningen BL","Binningen (BL)","Binningen BL","Nein zur Erhöhung des Frauenrentenalters auf 65 in Binningen. Die Gemeinde hat das Volksbegehren mit 87,9 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 98,4 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Binningen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Binningen eine Rentenreform mit 87,9 Nein-Stimmen abgelehnt.","A Binningen, les habitants disent non à 87,9 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 98,4 pour cent de non. Les citoyens de Binningen avaient déjà refusé la précédente révision de l'AVS en 2017.","Nel comune di Binningen l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 87,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 1,6 percento dei voti. A Binningen come nel 2017 gli elettroi hanno detto no - con il 54,2 percento dei voti – alla riforma dell'AVS."
2766,41.6,41.6,58.4,"Birsfelden BL","Birsfelden (BL)","Birsfelden BL","58,4 Prozent der Stimmbürgerinnen und Stimmbürger von Birsfelden sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 55,8 angenommen hat, ist die AHV-Reform in Birsfelden damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Birsfelden eine Rentenreform mit 58,4 Nein-Stimmen abgelehnt.","Les habitants de Birsfelden s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 58,4 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 55,8 pour cent des suffrages. Les citoyens de Birsfelden avaient déjà refusé la précédente révision de l'AVS en 2017.","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Birsfelden: i cittadini hanno bocciato il testo con il 58,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 55,8 percento dei voti. A Birsfelden come nel 2017 gli elettroi hanno detto no - con il 51,9 percento dei voti – alla riforma dell'AVS."
2767,96.1,96.1,3.9,"Bottmingen BL","Bottmingen (BL)","Bottmingen BL","In Bottmingen hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 96,1 Prozent zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 81,5 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Bottmingen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bottmingen eine Rentenreform mit 3,9 Nein-Stimmen abgelehnt.","A Bottmingen, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 96,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 81,5 pour cent de non. Les citoyens de Bottmingen avaient déjà refusé la précédente révision de l'AVS en 2017.","I cittadini di Bottmingen si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 96,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 18,5 percento dei voti. A Bottmingen come nel 2017 gli elettroi hanno detto no - con il 54 percento dei voti – alla riforma dell'AVS."
