"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
1,29.9,29.9,70.1,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Les habitants d'Aeugst am Albis rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 70,1 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 74,3 pour cent des suffrages. Les citoyens d'Aeugst am Albis avaient déjà refusé la précédente révision de l'AVS en 2017."
2,43.2,43.2,56.8,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","C'est non à 56,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Affoltern am Albis. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 97,1 pour cent de non. Les citoyens d'Affoltern am Albis avaient déjà refusé la précédente révision de l'AVS en 2017."
3,45.6,45.6,54.4,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","C'est non à 54,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Bonstetten. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 73,7 pour cent des suffrages. Bonstetten avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
4,36.5,36.5,63.5,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","A Hausen am Albis, les habitants disent non à 63,5 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 63,7 pour cent des suffrages. Les citoyens de Hausen am Albis avaient déjà refusé la précédente révision de l'AVS en 2017."
5,91.6,91.6,8.4,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Les habitants de Hedingen approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 91,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 62,1 pour cent de non. Hedingen avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
6,12.9,12.9,87.1,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","C'est non à 87,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Kappel am Albis. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 50,5 pour cent des suffrages. Les citoyens de Kappel am Albis avaient déjà refusé la précédente révision de l'AVS en 2017."
7,32.7,32.7,67.3,"Knonau ZH","Knonau (ZH)","Knonau ZH","Les habitants de Knonau s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 67,3 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 79,6 pour cent des suffrages. Knonau avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
8,41.7,41.7,58.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","A Maschwanden, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 58,3 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 55 pour cent des suffrages. Les citoyens de Maschwanden avaient déjà refusé la précédente révision de l'AVS en 2017."
9,83.2,83.2,16.8,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","A Mettmenstetten, les habitants disent oui à 83,2 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 79,3 pour cent des voix. Les électeurs de Mettmenstetten avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
10,10.6,10.6,89.4,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","A Obfelden, les habitants disent non à 89,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 61,5 pour cent des suffrages. Obfelden avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
11,69.4,69.4,30.6,"Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Les habitants d'Ottenbach approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 69,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,4 pour cent de non. Les citoyens d'Ottenbach avaient déjà refusé la précédente révision de l'AVS en 2017."
12,62.3,62.3,37.7,"Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Les habitants de Rifferswil approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 62,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 71,8 pour cent des voix. Les électeurs de Rifferswil avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
13,4.2,4.2,95.8,"Stallikon ZH","Stallikon (ZH)","Stallikon ZH","A Stallikon, les habitants disent non à 95,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 74,1 pour cent de non. Les citoyens de Stallikon avaient déjà refusé la précédente révision de l'AVS en 2017."
14,93.6,93.6,6.4,"Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Les habitants de Wettswil am Albis acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 93,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 54,8 pour cent de non. Les citoyens de Wettswil am Albis avaient déjà refusé la précédente révision de l'AVS en 2017."
21,38.2,38.2,61.8,"Adlikon ZH","Adlikon (ZH)","Adlikon ZH","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Adlikon avec 61,8 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 66,6 pour cent de non. Les citoyens d'Adlikon avaient déjà refusé la précédente révision de l'AVS en 2017."
22,71.6,71.6,28.4,"Benken ZH","Benken (ZH)","Benken ZH","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Benken (ZH) avec 71,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 56,7 pour cent de non. Les citoyens de Benken (ZH) avaient déjà refusé la précédente révision de l'AVS en 2017."
