"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_i"
1,29.9,29.9,70.1,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Nel comune di Aeugst am Albis l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 70,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 74,3 percento dei voti. A Aeugst am Albis come nel 2017 gli elettroi hanno detto no - con il 53,2 percento dei voti – alla riforma dell'AVS."
2,43.2,43.2,56.8,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Con il 56,8 percento di ""no"", i cittadini del comune di Affoltern am Albis hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 2,9 percento dei voti. A Affoltern am Albis come nel 2017 gli elettroi hanno detto no - con il 50,2 percento dei voti – alla riforma dell'AVS."
3,45.6,45.6,54.4,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Con il 54,4 percento di ""no"", i cittadini del comune di Bonstetten hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 73,7 percento dei voti. Bonstetten ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
4,36.5,36.5,63.5,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Nel comune di Hausen am Albis l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 63,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 63,7 percento dei voti. A Hausen am Albis come nel 2017 gli elettroi hanno detto no - con il 51,4 percento dei voti – alla riforma dell'AVS."
5,91.6,91.6,8.4,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Hedingen: i cittadini hanno approvato il testo con il 91,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 37,9 percento dei voti. Hedingen ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
6,12.9,12.9,87.1,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Con il 87,1 percento di ""no"", i cittadini del comune di Kappel am Albis hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 50,5 percento dei voti. A Kappel am Albis come nel 2017 gli elettroi hanno detto no - con il 56,9 percento dei voti – alla riforma dell'AVS."
7,32.7,32.7,67.3,"Knonau ZH","Knonau (ZH)","Knonau ZH","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Knonau: i cittadini hanno bocciato il testo con il 67,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 79,6 percento dei voti. Knonau ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
8,41.7,41.7,58.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","I cittadini di Maschwanden si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 58,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 55 percento dei voti. A Maschwanden come nel 2017 gli elettroi hanno detto no - con il 52 percento dei voti – alla riforma dell'AVS."
9,83.2,83.2,16.8,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Nel comune di Mettmenstetten l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 83,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 79,3 percento dei voti. A Mettmenstetten come nel 2017 gli elettori hanno detto sì - con il 52,3 percento dei voti – alla riforma dell'AVS."
10,10.6,10.6,89.4,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Nel comune di Obfelden l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 89,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 61,5 percento dei voti. Obfelden ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
