"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,29.9,29.9,70.1,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","In Aeugst am Albis hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 70,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 70,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Aeugst am Albis damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Aeugst am Albis eine Rentenreform mit 70,1 Nein-Stimmen abgelehnt.","Les habitants d'Aeugst am Albis rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 70,1 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 70,1 pour cent de non. Les citoyens d'Aeugst am Albis avaient déjà refusé la précédente révision de l'AVS en 2017.","Nel comune di Aeugst am Albis l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 70,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 29,9 percento dei voti. A Aeugst am Albis come nel 2017 gli elettroi hanno detto no - con il 53,2 percento dei voti – alla riforma dell'AVS."
2,43.2,43.2,56.8,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Affoltern am Albis: Mit 56,8 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 56,8 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Affoltern am Albis damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Affoltern am Albis eine Rentenreform mit 56,8 Nein-Stimmen abgelehnt.","C'est non à 56,8 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Affoltern am Albis. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 56,8 pour cent de non. Les citoyens d'Affoltern am Albis avaient déjà refusé la précédente révision de l'AVS en 2017.","Con il 56,8 percento di ""no"", i cittadini del comune di Affoltern am Albis hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 43,2 percento dei voti. A Affoltern am Albis come nel 2017 gli elettroi hanno detto no - con il 50,2 percento dei voti – alla riforma dell'AVS."
3,45.6,45.6,54.4,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Bonstetten: Mit 54,4 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 54,4 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Bonstetten damit gescheitert. Damit hat in Bonstetten im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 51,8 Prozent ein Ja in die Urne gelegt.","C'est non à 54,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Bonstetten. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 54,4 pour cent de non. Bonstetten avait accepté la précédente révision en 2017. Elle dit non cette fois-ci.","Con il 54,4 percento di ""no"", i cittadini del comune di Bonstetten hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 45,6 percento dei voti. Bonstetten ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
4,36.5,36.5,63.5,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Nein zur Erhöhung des Frauenrentenalters auf 65 in Hausen am Albis. Die Gemeinde hat das Volksbegehren mit 63,5 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 63,5 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Hausen am Albis damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hausen am Albis eine Rentenreform mit 63,5 Nein-Stimmen abgelehnt.","A Hausen am Albis, les habitants disent non à 63,5 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 63,5 pour cent de non. Les citoyens de Hausen am Albis avaient déjà refusé la précédente révision de l'AVS en 2017.","Nel comune di Hausen am Albis l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 63,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 36,5 percento dei voti. A Hausen am Albis come nel 2017 gli elettroi hanno detto no - con il 51,4 percento dei voti – alla riforma dell'AVS."
5,91.6,91.6,8.4,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Ja zur Erhöhung des Frauenrentenalters auf 65 in Hedingen mit 91,6 Prozent. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 91,6 zugestimmt hat, ist die AHV-Reform in Hedingen damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hedingen der Rentenreform mit 91,6 zugestimmt.","Les habitants de Hedingen approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 91,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 91,6 pour cent des voix. Les électeurs de Hedingen avaient déjà voté oui à la précédente réforme de l'AVS en 2017.","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Hedingen: i cittadini hanno approvato il testo con il 91,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 91,6 percento dei voti. A Hedingen come nel 2017 gli elettori hanno detto sì - con il 51,8 percento dei voti – alla riforma dell'AVS."
6,12.9,12.9,87.1,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Kappel am Albis: Mit 87,1 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 87,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Kappel am Albis damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kappel am Albis eine Rentenreform mit 87,1 Nein-Stimmen abgelehnt.","C'est non à 87,1 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Kappel am Albis. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 87,1 pour cent de non. Les citoyens de Kappel am Albis avaient déjà refusé la précédente révision de l'AVS en 2017.","Con il 87,1 percento di ""no"", i cittadini del comune di Kappel am Albis hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 12,9 percento dei voti. A Kappel am Albis come nel 2017 gli elettroi hanno detto no - con il 56,9 percento dei voti – alla riforma dell'AVS."
7,32.7,32.7,67.3,"Knonau ZH","Knonau (ZH)","Knonau ZH","67,3 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 67,3 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Knonau damit gescheitert. Damit hat in Knonau im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,6 Prozent ein Ja in die Urne gelegt.","Les habitants de Knonau s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 67,3 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 67,3 pour cent de non. Knonau avait accepté la précédente révision en 2017. Elle dit non cette fois-ci.","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Knonau: i cittadini hanno bocciato il testo con il 67,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 32,7 percento dei voti. Knonau ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
8,41.7,41.7,58.3,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 58,3 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 58,3 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Maschwanden damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Maschwanden eine Rentenreform mit 58,3 Nein-Stimmen abgelehnt.","A Maschwanden, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 58,3 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 58,3 pour cent de non. Les citoyens de Maschwanden avaient déjà refusé la précédente révision de l'AVS en 2017.","I cittadini di Maschwanden si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 58,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 41,7 percento dei voti. A Maschwanden come nel 2017 gli elettroi hanno detto no - con il 52 percento dei voti – alla riforma dell'AVS."
9,83.2,83.2,16.8,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Die Gemeinde Mettmenstetten hat die Erhöhung des Frauenrentenalters auf 65 mit 83,2 Prozent angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 83,2 zugestimmt hat, ist die AHV-Reform in Mettmenstetten damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Mettmenstetten der Rentenreform mit 83,2 zugestimmt.","A Mettmenstetten, les habitants disent oui à 83,2 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 83,2 pour cent des voix. Les électeurs de Mettmenstetten avaient déjà voté oui à la précédente réforme de l'AVS en 2017.","Nel comune di Mettmenstetten l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 83,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 83,2 percento dei voti. A Mettmenstetten come nel 2017 gli elettori hanno detto sì - con il 52,3 percento dei voti – alla riforma dell'AVS."
10,10.6,10.6,89.4,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Nein zur Erhöhung des Frauenrentenalters auf 65 in Obfelden. Die Gemeinde hat das Volksbegehren mit 89,4 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 89,4 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Obfelden damit gescheitert. Damit hat in Obfelden im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,2 Prozent ein Ja in die Urne gelegt.","A Obfelden, les habitants disent non à 89,4 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 89,4 pour cent de non. Obfelden avait accepté la précédente révision en 2017. Elle dit non cette fois-ci.","Nel comune di Obfelden l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 89,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 10,6 percento dei voti. Obfelden ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
