"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
2701,57.3,57.3,42.7,"Basel BS","Bâle (BS)","Basilea BS","Die Gemeinde Basel hat die Massentierhaltungsinitiative mit 57,3 Prozent angenommen. Basel hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Basel-Stadt.","A Bâle, les habitants disent oui à 57,3 pour cent à l'initiative ""Non à l’élevage intensif en Suisse"". Le plus fort pourcentage de oui du canton de Bâle-Ville a été obtenu à Bâle.","Nel comune di Basilea l'Iniziativa popolare ""No all'allevamento intensivo in Svizzera"" è stata approvata con il 57,3 percento dei voti. Basilea ha così ottenuto la più alta percentuale di ""sì"" nel canton Basilea Città."
2702,46.6,46.6,53.4,"Bettingen BS","Bettingen (BS)","Bettingen BS","In Bettingen hat die Stimmbevölkerung die Massentierhaltungsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 53,4 Prozent verworfen. Bettingen hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Basel-Stadt.","A Bettingen, les habitants sont défavorables à l'initiative ""Non à l’élevage intensif en Suisse"" avec 53,4 pour cent des voix. Le plus fort pourcentage de non du canton de Bâle-Ville a été obtenu à Bettingen.","I cittadini di Bettingen si sono opposti all'iniziativa ""No all'allevamento intensivo in Svizzera"". Il testo è stato respinto con il 53,4 percento dei voti. Bettingen ha così ottenuto la più alta percentuale di ""no"" nel canton Basilea Città."
2703,50.6,50.6,49.4,"Riehen BS","Riehen (BS)","Riehen BS","Die Gemeinde Riehen hat die Massentierhaltungsinitiative mit 50,6 Prozent angenommen. Riehen hat damit anders abgestimmt als der Kanton Basel-Stadt, der die Vorlage abgelehnt hat.","A Riehen, les habitants disent oui à 50,6 pour cent à l'initiative ""Non à l’élevage intensif en Suisse"". Riehen a approuvé l'initiative, contrairement à son canton.","Nel comune di Riehen l'Iniziativa popolare ""No all'allevamento intensivo in Svizzera"" è stata approvata con il 50,6 percento dei voti. Il comune di Riehen approvando il testo è andato controcorrente rispetto al suo cantone."
2761,26.1,26.1,73.9,"Aesch BL","Aesch (BL)","Aesch BL","Aesch BL ist dagegen, dass an öffentlich zugänglichen Orten niemand sein Gesicht verhüllen darf. Die Gemeinde hat die Massentierhaltungsinitiative mit 73,9 Prozent abgelehnt. Aesch BL hat damit gleich wie der Kanton Basel-Landschaft Nein gesagt zu dieser Vorlage.","L'initiative ""Non à l’élevage intensif en Suisse"" ne passe pas la rampe à Aesch (BL) avec 73,9 pour cent de non. Aesch (BL) a rejeté la l'initiative, tout comme son canton.","Da Aesch BL è arrivato un ""no"" alle urne per l'Iniziativa ""No all'allevamento intensivo in Svizzera"". I cittadini hanno respinto il testo con il 73,9 percento dei voti. Il comune di Aesch BL bocciando il testo si è espresso come il suo cantone."
2762,35.3,35.3,64.7,"Allschwil BL","Allschwil (BL)","Allschwil BL","64,7 Prozent der Stimmbürgerinnen und Stimmbürger von Allschwil sagen Nein zur Massentierhaltungsinitiative. Allschwil hat damit gleich wie der Kanton Basel-Landschaft Nein gesagt zu dieser Vorlage.","Les habitants d'Allschwil s'opposent à l'initiative ""Non à l’élevage intensif en Suisse"" avec 64,7 pour cent de non. Allschwil a rejeté la l'initiative, tout comme son canton.","No all'Iniziativa ""No all'allevamento intensivo in Svizzera"" nel comune di Allschwil: i cittadini hanno bocciato il testo con il 64,7 percento dei voti. Il comune di Allschwil bocciando il testo si è espresso come il suo cantone."
2763,18.5,18.5,81.5,"Arlesheim BL","Arlesheim (BL)","Arlesheim BL","Nein zur Massentierhaltungsinitiative in Arlesheim mit 81,5 Prozent Ablehnung. Arlesheim hat damit gleich wie der Kanton Basel-Landschaft Nein gesagt zu dieser Vorlage.","A Arlesheim, les habitants disent non à 81,5 pour cent à l'initiative ""Non à l’élevage intensif en Suisse"". Arlesheim a rejeté la l'initiative, tout comme son canton.","Nel comune di Arlesheim l'Iniziativa popolare ""No all'allevamento intensivo in Svizzera"" è stata respinta con il 81,5 percento dei voti. Il comune di Arlesheim bocciando il testo si è espresso come il suo cantone."
2764,35.4,35.4,64.6,"Biel-Benken BL","Biel-Benken (BL)","Biel-Benken BL","Nein zur Massentierhaltungsinitiative in Biel-Benken: Mit 64,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Biel-Benken hat damit gleich wie der Kanton Basel-Landschaft Nein gesagt zu dieser Vorlage.","L'initiative ""Non à l’élevage intensif en Suisse"" échoue à Biel-Benken avec 64,6 pour cent des suffrages. Biel-Benken a rejeté la l'initiative, tout comme son canton.","A Biel-Benken i cittadini hanno respinto, con il 64,6 percento dei voti, l'Iniziativa popolare ""No all'allevamento intensivo in Svizzera"". Il comune di Biel-Benken bocciando il testo si è espresso come il suo cantone."
2765,83.1,83.1,16.9,"Binningen BL","Binningen (BL)","Binningen BL","Die Gemeinde Binningen hat die Massentierhaltungsinitiative mit 83,1 Prozent angenommen. Binningen hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage abgelehnt hat.","A Binningen, les habitants disent oui à 83,1 pour cent à l'initiative ""Non à l’élevage intensif en Suisse"". Binningen a approuvé l'initiative, contrairement à son canton.","Nel comune di Binningen l'Iniziativa popolare ""No all'allevamento intensivo in Svizzera"" è stata approvata con il 83,1 percento dei voti. Il comune di Binningen approvando il testo è andato controcorrente rispetto al suo cantone."
2766,57.8,57.8,42.2,"Birsfelden BL","Birsfelden (BL)","Birsfelden BL","Ja zur Massentierhaltungsinitiative in Birsfelden: Mit 57,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Birsfelden hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage abgelehnt hat.","Les habitants de Birsfelden approuvent l'initiative ""Non à l’élevage intensif en Suisse"" avec 57,8 pour cent des voix. Birsfelden a approuvé l'initiative, contrairement à son canton.","Sì all'Iniziativa ""No all'allevamento intensivo in Svizzera"" nel comune di Birsfelden: i cittadini hanno approvato il testo con il 57,8 percento dei voti. Il comune di Birsfelden approvando il testo è andato controcorrente rispetto al suo cantone."
2767,73.5,73.5,26.5,"Bottmingen BL","Bottmingen (BL)","Bottmingen BL","In Bottmingen hat die Stimmbevölkerung der Massentierhaltungsinitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 73,5 Prozent angenommen. Bottmingen hat damit anders abgestimmt als der Kanton Basel-Landschaft, der die Vorlage abgelehnt hat.","A Bottmingen, les habitants sont favorables à l'initiative ""Non à l’élevage intensif en Suisse"" avec 73,5 pour cent des suffrages. Bottmingen a approuvé l'initiative, contrairement à son canton.","I cittadini di Bottmingen si sono espressi a favore dell'Iniziativa popolare ""No all'allevamento intensivo in Svizzera"". Il testo è stato approvato con il 73,5 percento dei voti. Il comune di Bottmingen approvando il testo è andato controcorrente rispetto al suo cantone."
