"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
5401,50,0,0,"Aigle VD","Aigle (VD)","Aigle VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5402,50,0,0,"Bex VD","Bex (VD)","Bex VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5403,50,0,0,"Chessel VD","Chessel (VD)","Chessel VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5404,50,0,0,"Corbeyrier VD","Corbeyrier (VD)","Corbeyrier VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5405,50,0,0,"Gryon VD","Gryon (VD)","Gryon VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5406,50,0,0,"Lavey-Morcles VD","Lavey-Morcles (VD)","Lavey-Morcles VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5407,50,0,0,"Leysin VD","Leysin (VD)","Leysin VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5408,50,0,0,"Noville VD","Noville (VD)","Noville VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5409,50,0,0,"Ollon VD","Ollon (VD)","Ollon VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5410,50,0,0,"Ormont-Dessous VD","Ormont-Dessous (VD)","Ormont-Dessous VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5411,50,0,0,"Ormont-Dessus VD","Ormont-Dessus (VD)","Ormont-Dessus VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5412,50,0,0,"Rennaz VD","Rennaz (VD)","Rennaz VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5413,50,0,0,"Roche VD","Roche (VD)","Roche VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5414,50,0,0,"Villeneuve VD","Villeneuve (VD)","Villeneuve VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5415,50,0,0,"Yvorne VD","Yvorne (VD)","Yvorne VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
5422,50,0,0,"Aubonne VD","Aubonne (VD)","Aubonne VD","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
