"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
3001,27.6,27.6,72.4,"Herisau AR","Herisau (AR)","Herisau AR","Herisau hat die Änderung des Verrechnungssteuergesetzes mit 72,4 Prozent Nein-Stimmen verworfen. Herisau hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","La suppression de l'impôt anticipé sur les intérêts des nouvelles obligations ne passe pas la rampe à Herisau avec 72,4 pour cent de non. Herisau a rejeté la loi, tout comme son canton.","Nel comune di Herisau la modifica della legge sull'imposta preventiva è stata respinta con il 72,4 percento dei voti. Il comune di Herisau bocciando la legge si è espresso come il suo cantone."
3002,73.5,73.5,26.5,"Hundwil AR","Hundwil (AR)","Hundwil AR","Ja zur Änderung des Verrechnungssteuergesetzes in Hundwil. Die Gemeinde hat die Vorlage mit 73,5 Prozent der Stimmen angenommen. Hundwil hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","Les électeurs de Hundwil valident la suppression de l'impôt anticipé sur les intérêts des nouvelles obligations avec 73,5 pour cent de oui. Hundwil a approuvé la loi, contrairement à son canton.","A Hundwil i cittadini hanno accolto, con il 73,5 percento dei voti, la modifica della legge sull'imposta preventiva. Il comune di Hundwil approvando la legge è andato controcorrente rispetto al suo cantone."
3003,35.5,35.5,64.5,"Schönengrund AR","Schönengrund (AR)","Schönengrund AR","64,5 Prozent der Stimmbürgerinnen und Stimmbürger von Schönengrund haben sich gegen die Änderung des Verrechnungssteuergesetzes ausgesprochen. Schönengrund hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","A Schönengrund, les habitants disent non à 64,5 pour cent à la suppression de l'impôt anticipé sur les intérêts des nouvelles obligations. Schönengrund a rejeté la loi, tout comme son canton.","I cittadini di Schönengrund si sono espressi contro la modifica della legge sull'imposta preventiva. Il testo è stato respinto con il 64,5 percento dei voti. Il comune di Schönengrund bocciando la legge si è espresso come il suo cantone."
3004,5.8,5.8,94.2,"Schwellbrunn AR","Schwellbrunn (AR)","Schwellbrunn AR","Schwellbrunn hat die Änderung des Verrechnungssteuergesetzes mit 94,2 Prozent Nein verworfen. Schwellbrunn hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","Les habitants de Schwellbrunn rejettent la suppression de l'impôt anticipé sur les intérêts des nouvelles obligations avec 94,2 pour cent de non. Schwellbrunn a rejeté la loi, tout comme son canton.","Nel comune di Schwellbrunn la modifica della legge sull'imposta preventiva è stata bocciata con il 94,2 percento dei voti. Il comune di Schwellbrunn bocciando la legge si è espresso come il suo cantone."
3005,42.5,42.5,57.5,"Stein AR","Stein (AR)","Stein AR","57,5 Prozent der Stimmbürgerinnen und Stimmbürger von Stein AR haben sich gegen die Änderung des Verrechnungssteuergesetzes ausgesprochen. Stein AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","A Stein (AR), les habitants disent non à 57,5 pour cent à la suppression de l'impôt anticipé sur les intérêts des nouvelles obligations. Stein (AR) a rejeté la loi, tout comme son canton.","I cittadini di Stein AR si sono espressi contro la modifica della legge sull'imposta preventiva. Il testo è stato respinto con il 57,5 percento dei voti. Il comune di Stein AR bocciando la legge si è espresso come il suo cantone."
3006,29.2,29.2,70.8,"Urnäsch AR","Urnäsch (AR)","Urnäsch AR","Urnäsch hat die Änderung des Verrechnungssteuergesetzes mit 70,8 Prozent Nein verworfen. Urnäsch hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","Les habitants d'Urnäsch rejettent la suppression de l'impôt anticipé sur les intérêts des nouvelles obligations avec 70,8 pour cent de non. Urnäsch a rejeté la loi, tout comme son canton.","Nel comune di Urnäsch la modifica della legge sull'imposta preventiva è stata bocciata con il 70,8 percento dei voti. Il comune di Urnäsch bocciando la legge si è espresso come il suo cantone."
3007,91,91,9,"Waldstatt AR","Waldstatt (AR)","Waldstatt AR","91 Prozent der Stimmbürgerinnen und Stimmbürger in Waldstatt haben Ja gesagt zur Änderung des Verrechnungssteuergesetzes. Waldstatt hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Appenzell Ausserrhoden.","C'est oui à 91 pour cent à la suppression de l'impôt anticipé sur les intérêts des nouvelles obligations à Waldstatt. Le plus fort pourcentage de oui du canton d'Appenzell Rhodes-Extérieures a été obtenu à Waldstatt.","Con il 91 percento di ""sì"", i cittadini del comune di Waldstatt hanno accolto la modifica della legge sull'imposta preventiva. Waldstatt ha così ottenuto la più alta percentuale di ""sì"" nel canton Appenzello Esterno."
3021,28.1,28.1,71.9,"Bühler AR","Bühler (AR)","Bühler AR","In Bühler hat die Änderung des Verrechnungssteuergesetzes keine Mehrheit gefunden: 71,9 Prozent haben die Vorlage abgelehnt. Bühler hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage.","La suppression de l'impôt anticipé sur les intérêts des nouvelles obligations échoue à Bühler avec 71,9 pour cent de non. Bühler a rejeté la loi, tout comme son canton.","A Bühler i cittadini hanno respinto, con il 71,9 percento dei voti, la modifica della legge sull'imposta preventiva. Il comune di Bühler bocciando la legge si è espresso come il suo cantone."
3022,72.1,72.1,27.9,"Gais AR","Gais (AR)","Gais AR","Die Änderung des Verrechnungssteuergesetzes ist in Gais mit 72,1 Prozent der Stimmen angenommen worden. Gais hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","A Gais, les habitants sont favorables à la suppression de l'impôt anticipé sur les intérêts des nouvelles obligations avec 72,1 pour cent de oui. Gais a approuvé la loi, contrairement à son canton.","I cittadini di Gais si sono espressi a favore della modifica della legge sull'imposta preventiva. Il testo è stato approvato con il 72,1 percento dei voti. Il comune di Gais approvando la legge è andato controcorrente rispetto al suo cantone."
3023,57.3,57.3,42.7,"Speicher AR","Speicher (AR)","Speicher AR","Ja zur Änderung des Verrechnungssteuergesetzes in Speicher. Die Gemeinde hat die Vorlage mit 57,3 Prozent der Stimmen angenommen. Speicher hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat.","Les électeurs de Speicher valident la suppression de l'impôt anticipé sur les intérêts des nouvelles obligations avec 57,3 pour cent de oui. Speicher a approuvé la loi, contrairement à son canton.","A Speicher i cittadini hanno accolto, con il 57,3 percento dei voti, la modifica della legge sull'imposta preventiva. Il comune di Speicher approvando la legge è andato controcorrente rispetto al suo cantone."
